2023-03-29 21:05:37.749 Connecting to HC-05 ...
2023-03-29 21:05:39.092 Connected
2023-03-29 21:05:41.868 T: 25.57*C  H: 73.73%  A: 820.48m  P: 918.51hPa  
2023-03-29 21:05:44.930 T: 25.59*C  H: 73.65%  A: 820.17m  P: 918.49hPa  
2023-03-29 21:05:48.060 T: 25.62*C  H: 73.57%  A: 820.54m  P: 918.50hPa  
2023-03-29 21:05:51.133 T: 25.64*C  H: 73.52%  A: 820.56m  P: 918.50hPa  
2023-03-29 21:05:54.205 T: 25.67*C  H: 73.46%  A: 820.99m  P: 918.42hPa  
2023-03-29 21:05:57.277 T: 25.68*C  H: 74.06%  A: 821.22m  P: 918.42hPa  
2023-03-29 21:06:00.236 T: 25.69*C  H: 74.49%  A: 820.98m  P: 918.45hPa  
2023-03-29 21:06:03.304 T: 25.68*C  H: 73.12%  A: 821.09m  P: 918.44hPa  
2023-03-29 21:06:06.379 T: 25.69*C  H: 73.21%  A: 820.67m  P: 918.48hPa  
2023-03-29 21:06:09.474 T: 25.64*C  H: 71.12%  A: 821.09m  P: 918.44hPa  
2023-03-29 21:06:12.526 T: 25.64*C  H: 71.13%  A: 820.90m  P: 918.46hPa  
2023-03-29 21:06:15.561 T: 25.60*C  H: 70.79%  A: 821.21m  P: 918.42hPa  
2023-03-29 21:06:18.681 T: 25.59*C  H: 72.50%  A: 821.21m  P: 918.45hPa  
2023-03-29 21:06:21.749 T: 25.60*C  H: 73.92%  A: 821.26m  P: 918.42hPa  
2023-03-29 21:06:24.825 T: 25.60*C  H: 73.13%  A: 821.08m  P: 918.44hPa  
2023-03-29 21:06:27.817 T: 25.62*C  H: 72.76%  A: 821.35m  P: 918.41hPa  
2023-03-29 21:06:30.967 T: 25.60*C  H: 71.97%  A: 821.16m  P: 918.43hPa  
2023-03-29 21:06:33.936 T: 25.59*C  H: 71.87%  A: 821.04m  P: 918.44hPa  
2023-03-29 21:06:36.990 T: 25.57*C  H: 71.77%  A: 820.76m  P: 918.47hPa  
2023-03-29 21:06:40.073 T: 25.55*C  H: 71.41%  A: 820.74m  P: 918.48hPa  
2023-03-29 21:06:43.125 T: 25.54*C  H: 70.84%  A: 820.84m  P: 918.44hPa  
2023-03-29 21:06:46.220 T: 25.50*C  H: 69.74%  A: 821.08m  P: 918.44hPa  
2023-03-29 21:06:49.338 T: 25.53*C  H: 70.40%  A: 821.01m  P: 918.45hPa  
2023-03-29 21:06:52.324 T: 25.51*C  H: 72.31%  A: 820.77m  P: 918.46hPa  
2023-03-29 21:06:55.370 T: 25.51*C  H: 72.26%  A: 820.95m  P: 918.45hPa  
2023-03-29 21:06:58.460 T: 25.52*C  H: 72.44%  A: 820.91m  P: 918.46hPa  
2023-03-29 21:07:01.507 T: 25.51*C  H: 72.44%  A: 821.08m  P: 918.44hPa  
2023-03-29 21:07:04.655 T: 25.51*C  H: 72.96%  A: 820.63m  P: 918.49hPa  
2023-03-29 21:07:07.652 T: 25.56*C  H: 73.80%  A: 820.62m  P: 918.53hPa  
2023-03-29 21:07:10.695 T: 25.58*C  H: 73.41%  A: 820.31m  P: 918.52hPa  
2023-03-29 21:07:13.737 T: 25.60*C  H: 73.32%  A: 819.87m  P: 918.57hPa  
2023-03-29 21:07:16.858 T: 25.62*C  H: 73.29%  A: 820.06m  P: 918.53hPa  
