2023-03-30 22:31:05.394 Connecting to HC-05 ...
2023-03-30 22:31:11.855 Connection failed: read failed, socket might closed or timeout, read ret: -1
2023-03-30 22:31:27.152 Connecting to HC-05 ...
2023-03-30 22:31:31.901 Connected
2023-03-30 22:31:33.889 T: 24.72*C  H: 66.91%  A: 840.47m  P: 916.29hPa  
2023-03-30 22:31:36.909 T: 24.72*C  H: 66.93%  A: 840.22m  P: 916.32hPa  
2023-03-30 22:31:39.983 T: 24.74*C  H: 66.88%  A: 840.38m  P: 916.34hPa  
2023-03-30 22:31:43.040 T: 24.74*C  H: 66.84%  A: 840.20m  P: 916.32hPa  
2023-03-30 22:31:46.131 T: 24.75*C  H: 66.80%  A: 840.22m  P: 916.32hPa  
2023-03-30 22:31:49.170 T: 24.76*C  H: 66.79%  A: 840.22m  P: 916.32hPa  
2023-03-30 22:31:52.244 T: 24.77*C  H: 66.76%  A: 840.25m  P: 916.31hPa  
2023-03-30 22:31:55.296 T: 24.78*C  H: 66.72%  A: 840.05m  P: 916.34hPa  
2023-03-30 22:31:58.372 T: 24.78*C  H: 66.69%  A: 840.40m  P: 916.30hPa  
2023-03-30 22:32:01.421 T: 24.78*C  H: 66.70%  A: 840.26m  P: 916.31hPa  
2023-03-30 22:32:04.530 T: 24.79*C  H: 66.70%  A: 839.99m  P: 916.34hPa  
2023-03-30 22:32:07.505 T: 24.80*C  H: 66.68%  A: 839.96m  P: 916.35hPa  
2023-03-30 22:32:10.593 T: 24.80*C  H: 66.63%  A: 840.25m  P: 916.31hPa  
2023-03-30 22:32:10.849 Disconnected
