2023-04-10 22:46:30.349 Connecting to HC-05 ...
2023-04-10 22:46:37.121 Connected
2023-04-10 22:46:38.109 T: 19.88*C  H: 72.99%  A: 807.66m  P: 919.93hPa  
2023-04-10 22:46:40.591 T: 19.89*C  H: 72.72%  A: 807.80m  P: 919.91hPa  
2023-04-10 22:46:43.628 T: 19.89*C  H: 72.64%  A: 807.95m  P: 919.90hPa  
2023-04-10 22:46:46.707 T: 19.90*C  H: 72.56%  A: 807.81m  P: 919.88hPa  
2023-04-10 22:46:49.793 T: 19.91*C  H: 72.51%  A: 807.91m  P: 919.90hPa  
2023-04-10 22:46:52.797 T: 19.92*C  H: 72.45%  A: 808.51m  P: 919.83hPa  
2023-04-10 22:46:55.869 T: 19.94*C  H: 72.37%  A: 808.23m  P: 919.86hPa  
2023-04-10 22:46:58.949 T: 19.94*C  H: 72.32%  A: 808.37m  P: 919.85hPa  
2023-04-10 22:47:02.018 T: 19.93*C  H: 72.31%  A: 808.25m  P: 919.85hPa  
2023-04-10 22:47:05.088 T: 19.95*C  H: 72.28%  A: 808.61m  P: 919.82hPa  
2023-04-10 22:47:08.110 T: 19.96*C  H: 72.22%  A: 808.35m  P: 919.85hPa  
2023-04-10 22:47:11.173 T: 19.96*C  H: 72.18%  A: 808.02m  P: 919.89hPa  
2023-04-10 22:47:14.248 T: 19.97*C  H: 72.14%  A: 808.24m  P: 919.87hPa  
2023-04-10 22:47:17.333 T: 19.97*C  H: 72.12%  A: 808.45m  P: 919.84hPa  
2023-04-10 22:47:20.409 T: 19.98*C  H: 72.10%  A: 808.46m  P: 919.84hPa  
2023-04-10 22:47:23.472 T: 19.99*C  H: 72.06%  A: 808.03m  P: 919.89hPa  
2023-04-10 22:47:26.510 T: 20.00*C  H: 72.02%  A: 808.53m  P: 919.83hPa  
2023-04-10 22:47:29.552 T: 20.00*C  H: 72.00%  A: 808.43m  P: 919.84hPa  
2023-04-10 22:47:32.644 T: 20.01*C  H: 71.98%  A: 808.25m  P: 919.86hPa  
2023-04-10 22:47:35.725 T: 20.01*C  H: 71.96%  A: 808.04m  P: 919.89hPa  
2023-04-10 22:47:38.770 T: 20.02*C  H: 71.93%  A: 808.27m  P: 919.87hPa  
2023-04-10 22:47:41.802 T: 20.03*C  H: 71.89%  A: 808.09m  P: 919.88hPa  
2023-04-10 22:47:44.872 T: 20.03*C  H: 71.86%  A: 808.41m  P: 919.84hPa  
2023-04-10 22:47:47.937 T: 20.03*C  H: 71.83%  A: 808.09m  P: 919.88hPa  
2023-04-10 22:47:51.062 T: 20.04*C  H: 71.84%  A: 807.91m  P: 919.88hPa  
2023-04-10 22:47:54.080 T: 20.05*C  H: 71.81%  A: 808.14m  P: 919.87hPa  
2023-04-10 22:47:57.200 T: 20.05*C  H: 71.80%  A: 807.99m  P: 919.89hPa  
2023-04-10 22:48:00.202 T: 20.05*C  H: 71.78%  A: 808.38m  P: 919.85hPa  
2023-04-10 22:48:03.255 T: 20.06*C  H: 71.75%  A: 807.93m  P: 919.90hPa  
2023-04-10 22:48:06.327 T: 20.05*C  H: 71.74%  A: 807.80m  P: 919.91hPa  
2023-04-10 22:48:09.391 T: 20.06*C  H: 71.73%  A: 807.88m  P: 919.90hPa  
2023-04-10 22:48:12.462 T: 20.07*C  H: 71.73%  A: 808.19m  P: 919.87hPa  
2023-04-10 22:48:15.501 T: 20.07*C  H: 71.72%  A: 808.38m  P: 919.89hPa  
