2023-03-29 14:12:23.611 Connecting to HC-05 ...
2023-03-29 14:12:30.073 Connection failed: read failed, socket might closed or timeout, read ret: -1
2023-03-29 14:12:45.277 Connecting to HC-05 ...
2023-03-29 14:12:47.820 Connected
2023-03-29 14:12:48.797 T: 24.32*C  H: 75.92%  A: 842.63m  P: 916.05hPa  
2023-03-29 14:12:50.910 T: 24.35*C  H: 75.64%  A: 842.00m  P: 916.12hPa  
2023-03-29 14:12:53.988 T: 24.36*C  H: 75.16%  A: 842.34m  P: 916.08hPa  
2023-03-29 14:12:57.070 T: 24.37*C  H: 74.85%  A: 842.27m  P: 916.09hPa  
2023-03-29 14:13:00.130 T: 24.39*C  H: 74.69%  A: 842.29m  P: 916.09hPa  
2023-03-29 14:13:03.211 T: 24.40*C  H: 75.10%  A: 841.99m  P: 916.12hPa  
2023-03-29 14:13:06.266 T: 24.42*C  H: 74.91%  A: 842.05m  P: 916.11hPa  
2023-03-29 14:13:09.295 T: 24.43*C  H: 74.76%  A: 842.18m  P: 916.10hPa  
2023-03-29 14:13:12.374 T: 24.44*C  H: 74.75%  A: 842.49m  P: 916.09hPa  
2023-03-29 14:13:15.472 T: 24.45*C  H: 74.85%  A: 842.21m  P: 916.10hPa  
2023-03-29 14:13:18.542 T: 24.46*C  H: 74.77%  A: 842.11m  P: 916.11hPa  
2023-03-29 14:13:21.616 T: 24.47*C  H: 74.70%  A: 842.28m  P: 916.11hPa  
2023-03-29 14:13:24.688 T: 24.47*C  H: 74.62%  A: 842.51m  P: 916.06hPa  
2023-03-29 14:13:27.680 T: 24.49*C  H: 74.51%  A: 842.29m  P: 916.09hPa  
2023-03-29 14:13:30.754 T: 24.50*C  H: 74.43%  A: 842.30m  P: 916.07hPa  
2023-03-29 14:13:33.817 T: 24.50*C  H: 74.42%  A: 842.27m  P: 916.09hPa  
2023-03-29 14:13:36.876 T: 24.51*C  H: 74.47%  A: 842.08m  P: 916.11hPa  
2023-03-29 14:13:39.959 T: 24.52*C  H: 74.35%  A: 842.00m  P: 916.13hPa  
