2023-03-30 18:15:21.174 T: 25.78*C  H: 63.25%  A: 844.31m  P: 915.86hPa  
2023-03-30 18:15:24.291 T: 25.80*C  H: 63.15%  A: 844.14m  P: 915.88hPa  
2023-03-30 18:15:27.319 T: 25.80*C  H: 62.88%  A: 844.26m  P: 915.87hPa  
2023-03-30 18:15:30.394 T: 25.81*C  H: 62.82%  A: 844.25m  P: 915.87hPa  
2023-03-30 18:15:33.424 T: 25.83*C  H: 62.77%  A: 844.24m  P: 915.87hPa  
2023-03-30 18:15:36.497 T: 25.83*C  H: 62.73%  A: 844.39m  P: 915.83hPa  
2023-03-30 18:15:39.558 T: 25.83*C  H: 62.67%  A: 844.59m  P: 915.83hPa  
2023-03-30 18:15:42.629 T: 25.84*C  H: 62.57%  A: 844.86m  P: 915.80hPa  
2023-03-30 18:15:45.701 T: 25.84*C  H: 62.50%  A: 844.51m  P: 915.82hPa  
2023-03-30 18:15:48.776 T: 25.84*C  H: 62.45%  A: 844.72m  P: 915.82hPa  
2023-03-30 18:15:51.790 T: 25.85*C  H: 62.40%  A: 844.70m  P: 915.82hPa  
2023-03-30 18:15:54.927 T: 25.86*C  H: 62.36%  A: 844.82m  P: 915.81hPa  
2023-03-30 18:15:57.989 T: 25.86*C  H: 62.33%  A: 845.04m  P: 915.78hPa  
2023-03-30 18:16:01.060 T: 25.86*C  H: 62.32%  A: 844.81m  P: 915.79hPa  
2023-03-30 18:16:04.131 T: 25.86*C  H: 62.29%  A: 845.00m  P: 915.79hPa  
2023-03-30 18:16:07.205 T: 25.87*C  H: 62.26%  A: 845.00m  P: 915.79hPa  
2023-03-30 18:16:10.210 T: 25.87*C  H: 62.24%  A: 844.98m  P: 915.76hPa  
2023-03-30 18:16:13.244 T: 25.88*C  H: 62.23%  A: 845.01m  P: 915.79hPa  
2023-03-30 18:16:16.310 T: 25.87*C  H: 62.21%  A: 845.03m  P: 915.79hPa  
2023-03-30 18:16:19.379 T: 25.88*C  H: 62.18%  A: 845.07m  P: 915.78hPa  
2023-03-30 18:16:22.452 T: 25.88*C  H: 62.18%  A: 845.10m  P: 915.78hPa  
2023-03-30 18:16:25.526 T: 25.87*C  H: 62.17%  A: 845.08m  P: 915.80hPa  
2023-03-30 18:16:28.530 T: 25.87*C  H: 62.18%  A: 845.16m  P: 915.77hPa  
2023-03-30 18:16:31.678 T: 25.86*C  H: 62.19%  A: 845.27m  P: 915.76hPa  
2023-03-30 18:16:34.750 T: 25.88*C  H: 62.18%  A: 845.04m  P: 915.78hPa  
2023-03-30 18:16:37.746 T: 25.88*C  H: 62.17%  A: 844.80m  P: 915.81hPa  
2023-03-30 18:16:40.816 T: 25.88*C  H: 62.15%  A: 845.09m  P: 915.80hPa  
2023-03-30 18:16:43.885 T: 25.88*C  H: 62.13%  A: 844.93m  P: 915.80hPa  
2023-03-30 18:16:46.927 T: 25.88*C  H: 62.11%  A: 845.28m  P: 915.76hPa  
2023-03-30 18:16:49.976 T: 25.88*C  H: 62.09%  A: 845.17m  P: 915.77hPa  
2023-03-30 18:16:53.051 T: 25.88*C  H: 62.08%  A: 844.83m  P: 915.81hPa  
2023-03-30 18:16:56.122 T: 25.88*C  H: 62.07%  A: 845.23m  P: 915.78hPa  
2023-03-30 18:16:59.216 T: 25.89*C  H: 62.06%  A: 844.94m  P: 915.79hPa  
2023-03-30 18:17:02.264 T: 25.89*C  H: 62.07%  A: 845.07m  P: 915.78hPa  
2023-03-30 18:17:05.288 T: 25.89*C  H: 62.05%  A: 844.88m  P: 915.80hPa  
2023-03-30 18:17:08.363 T: 25.89*C  H: 62.06%  A: 844.91m  P: 915.80hPa  
2023-03-30 18:17:09.233 Disconnected
