2023-04-01 09:24:56.905 Connecting to HC-05 ...
2023-04-01 09:24:58.782 Connected
2023-04-01 09:25:00.529 T: 22.69*C  H: 77.77%  A: 837.95m  P: 916.57hPa  
2023-04-01 09:25:03.607 T: 22.72*C  H: 77.70%  A: 837.31m  P: 916.64hPa  
2023-04-01 09:25:06.664 T: 22.73*C  H: 77.54%  A: 837.75m  P: 916.61hPa  
2023-04-01 09:25:09.737 T: 22.76*C  H: 77.42%  A: 837.43m  P: 916.63hPa  
2023-04-01 09:25:12.808 T: 22.77*C  H: 77.32%  A: 837.46m  P: 916.62hPa  
2023-04-01 09:25:15.880 T: 22.79*C  H: 77.25%  A: 837.34m  P: 916.60hPa  
2023-04-01 09:25:18.905 T: 22.81*C  H: 77.20%  A: 837.41m  P: 916.63hPa  
2023-04-01 09:25:21.978 T: 22.81*C  H: 77.10%  A: 837.20m  P: 916.65hPa  
2023-04-01 09:25:25.073 T: 22.83*C  H: 77.05%  A: 837.59m  P: 916.61hPa  
2023-04-01 09:25:28.117 T: 22.84*C  H: 77.01%  A: 837.53m  P: 916.61hPa  
2023-04-01 09:25:31.201 T: 22.85*C  H: 76.95%  A: 837.61m  P: 916.61hPa  
2023-04-01 09:25:34.216 T: 22.86*C  H: 76.89%  A: 837.61m  P: 916.61hPa  
2023-04-01 09:25:37.281 T: 22.87*C  H: 76.83%  A: 837.85m  P: 916.58hPa  
2023-04-01 09:25:37.808 Disconnected
